layer_name,l2_distance,num_params,round,tag
layer2.0.conv2.weight,6.76155424118042,147456,3,oracle_vs_full
layer2.0.bn2.weight,3.3592731952667236,128,3,oracle_vs_full
layer2.0.bn2.bias,0.3239843249320984,128,3,oracle_vs_full
layer2.0.bn2.running_mean,5.123748779296875,128,3,oracle_vs_full
layer2.0.bn2.running_var,5.453548431396484,128,3,oracle_vs_full
layer2.0.bn2.num_batches_tracked,7423.0,1,3,oracle_vs_full
layer2.0.downsample.0.weight,4.025847434997559,8192,3,oracle_vs_full
layer2.0.downsample.1.weight,3.0399069786071777,128,3,oracle_vs_full
layer2.0.downsample.1.bias,0.3239843249320984,128,3,oracle_vs_full
layer2.0.downsample.1.running_mean,5.336374282836914,128,3,oracle_vs_full
layer2.0.downsample.1.running_var,10.857138633728027,128,3,oracle_vs_full
layer2.0.downsample.1.num_batches_tracked,7423.0,1,3,oracle_vs_full
layer2.1.conv1.weight,6.420080184936523,147456,3,oracle_vs_full
layer2.1.bn1.weight,3.316560745239258,128,3,oracle_vs_full
layer2.1.bn1.bias,0.5460088849067688,128,3,oracle_vs_full
layer2.1.bn1.running_mean,7.247013568878174,128,3,oracle_vs_full
layer2.1.bn1.running_var,10.116387367248535,128,3,oracle_vs_full
layer2.1.bn1.num_batches_tracked,7423.0,1,3,oracle_vs_full
layer2.1.conv2.weight,6.19420862197876,147456,3,oracle_vs_full
layer2.1.bn2.weight,3.4833052158355713,128,3,oracle_vs_full
layer2.1.bn2.bias,0.35089826583862305,128,3,oracle_vs_full
layer2.1.bn2.running_mean,4.097249507904053,128,3,oracle_vs_full
layer2.1.bn2.running_var,5.401155471801758,128,3,oracle_vs_full
layer2.1.bn2.num_batches_tracked,7423.0,1,3,oracle_vs_full
layer3.0.conv1.weight,7.164261817932129,294912,3,oracle_vs_full
layer3.0.bn1.weight,4.661675453186035,256,3,oracle_vs_full
layer3.0.bn1.bias,0.620846152305603,256,3,oracle_vs_full
layer3.0.bn1.running_mean,9.327004432678223,256,3,oracle_vs_full
layer3.0.bn1.running_var,9.127762794494629,256,3,oracle_vs_full
layer3.0.bn1.num_batches_tracked,7423.0,1,3,oracle_vs_full
layer3.0.conv2.weight,9.059061050415039,589824,3,oracle_vs_full
layer3.0.bn2.weight,4.47471809387207,256,3,oracle_vs_full
layer3.0.bn2.bias,0.5171566605567932,256,3,oracle_vs_full
layer3.0.bn2.running_mean,5.450788497924805,256,3,oracle_vs_full
layer3.0.bn2.running_var,6.814725399017334,256,3,oracle_vs_full
layer3.0.bn2.num_batches_tracked,7423.0,1,3,oracle_vs_full
layer3.0.downsample.0.weight,5.244255065917969,32768,3,oracle_vs_full
layer3.0.downsample.1.weight,4.601863861083984,256,3,oracle_vs_full
layer3.0.downsample.1.bias,0.5171566605567932,256,3,oracle_vs_full
layer3.0.downsample.1.running_mean,7.533183574676514,256,3,oracle_vs_full
layer3.0.downsample.1.running_var,14.239388465881348,256,3,oracle_vs_full
layer3.0.downsample.1.num_batches_tracked,7423.0,1,3,oracle_vs_full
layer3.1.conv1.weight,8.487875938415527,589824,3,oracle_vs_full
layer3.1.bn1.weight,4.6596293449401855,256,3,oracle_vs_full
layer3.1.bn1.bias,0.5990020632743835,256,3,oracle_vs_full
layer3.1.bn1.running_mean,8.295695304870605,256,3,oracle_vs_full
layer3.1.bn1.running_var,14.100096702575684,256,3,oracle_vs_full
layer3.1.bn1.num_batches_tracked,7423.0,1,3,oracle_vs_full
layer3.1.conv2.weight,8.28593921661377,589824,3,oracle_vs_full
layer3.1.bn2.weight,4.894221305847168,256,3,oracle_vs_full
layer3.1.bn2.bias,0.4974929392337799,256,3,oracle_vs_full
layer3.1.bn2.running_mean,6.204815864562988,256,3,oracle_vs_full
layer3.1.bn2.running_var,7.747693061828613,256,3,oracle_vs_full
layer3.1.bn2.num_batches_tracked,7423.0,1,3,oracle_vs_full
layer4.0.conv1.weight,9.479232788085938,1179648,3,oracle_vs_full
layer4.0.bn1.weight,6.583957195281982,512,3,oracle_vs_full
layer4.0.bn1.bias,0.721319317817688,512,3,oracle_vs_full
layer4.0.bn1.running_mean,13.022801399230957,512,3,oracle_vs_full
layer4.0.bn1.running_var,19.73982810974121,512,3,oracle_vs_full
layer4.0.bn1.num_batches_tracked,7423.0,1,3,oracle_vs_full
layer4.0.conv2.weight,11.572736740112305,2359296,3,oracle_vs_full
layer4.0.bn2.weight,6.302768707275391,512,3,oracle_vs_full
layer4.0.bn2.bias,0.7428081631660461,512,3,oracle_vs_full
layer4.0.bn2.running_mean,5.167262554168701,512,3,oracle_vs_full
layer4.0.bn2.running_var,10.380313873291016,512,3,oracle_vs_full
layer4.0.bn2.num_batches_tracked,7423.0,1,3,oracle_vs_full
layer4.0.downsample.0.weight,7.2521538734436035,131072,3,oracle_vs_full
layer4.0.downsample.1.weight,6.283115863800049,512,3,oracle_vs_full
layer4.0.downsample.1.bias,0.7428081631660461,512,3,oracle_vs_full
layer4.0.downsample.1.running_mean,10.73596477508545,512,3,oracle_vs_full
layer4.0.downsample.1.running_var,23.533702850341797,512,3,oracle_vs_full
layer4.0.downsample.1.num_batches_tracked,7423.0,1,3,oracle_vs_full
layer4.1.conv1.weight,11.411378860473633,2359296,3,oracle_vs_full
layer4.1.bn1.weight,6.574519157409668,512,3,oracle_vs_full
layer4.1.bn1.bias,0.5113775730133057,512,3,oracle_vs_full
layer4.1.bn1.running_mean,5.416150093078613,512,3,oracle_vs_full
layer4.1.bn1.running_var,10.02165699005127,512,3,oracle_vs_full
layer4.1.bn1.num_batches_tracked,7423.0,1,3,oracle_vs_full
layer4.1.conv2.weight,11.215381622314453,2359296,3,oracle_vs_full
layer4.1.bn2.weight,5.6128644943237305,512,3,oracle_vs_full
layer4.1.bn2.bias,0.7726065516471863,512,3,oracle_vs_full
layer4.1.bn2.running_mean,6.14500093460083,512,3,oracle_vs_full
layer4.1.bn2.running_var,7.818454742431641,512,3,oracle_vs_full
layer4.1.bn2.num_batches_tracked,7423.0,1,3,oracle_vs_full
fc.weight,10.436238288879395,102400,3,oracle_vs_full
fc.bias,0.11681342869997025,200,3,oracle_vs_full
conv1.weight,7.5630269050598145,9408,4,oracle_vs_full
bn1.weight,2.0177624225616455,64,4,oracle_vs_full
bn1.bias,0.9199361801147461,64,4,oracle_vs_full
bn1.running_mean,1.0961647033691406,64,4,oracle_vs_full
bn1.running_var,21.82870864868164,64,4,oracle_vs_full
bn1.num_batches_tracked,7264.0,1,4,oracle_vs_full
layer1.0.conv1.weight,5.750072956085205,36864,4,oracle_vs_full
layer1.0.bn1.weight,2.2922613620758057,64,4,oracle_vs_full
layer1.0.bn1.bias,0.5437281727790833,64,4,oracle_vs_full
layer1.0.bn1.running_mean,10.566253662109375,64,4,oracle_vs_full
layer1.0.bn1.running_var,9.366743087768555,64,4,oracle_vs_full
layer1.0.bn1.num_batches_tracked,7264.0,1,4,oracle_vs_full
layer1.0.conv2.weight,5.2974629402160645,36864,4,oracle_vs_full
layer1.0.bn2.weight,2.4495604038238525,64,4,oracle_vs_full
layer1.0.bn2.bias,0.4153358042240143,64,4,oracle_vs_full
layer1.0.bn2.running_mean,4.041698455810547,64,4,oracle_vs_full
layer1.0.bn2.running_var,3.4573376178741455,64,4,oracle_vs_full
layer1.0.bn2.num_batches_tracked,7264.0,1,4,oracle_vs_full
layer1.1.conv1.weight,4.794695854187012,36864,4,oracle_vs_full
layer1.1.bn1.weight,2.293569326400757,64,4,oracle_vs_full
layer1.1.bn1.bias,0.44226083159446716,64,4,oracle_vs_full
layer1.1.bn1.running_mean,10.609012603759766,64,4,oracle_vs_full
layer1.1.bn1.running_var,7.411989688873291,64,4,oracle_vs_full
layer1.1.bn1.num_batches_tracked,7264.0,1,4,oracle_vs_full
layer1.1.conv2.weight,4.566787242889404,36864,4,oracle_vs_full
layer1.1.bn2.weight,2.5711379051208496,64,4,oracle_vs_full
layer1.1.bn2.bias,0.22849440574645996,64,4,oracle_vs_full
layer1.1.bn2.running_mean,3.533510446548462,64,4,oracle_vs_full
layer1.1.bn2.running_var,3.7180862426757812,64,4,oracle_vs_full
